Name,victories,2nd places,3rd places,pole positions from '74 to 2021,race fastest lap to 2021,World Championships
ROSSI Valentino,89,61,49,55,76,7
AGOSTINI Giacomo,68,20,,6,69,8
MARQUEZ Marc,57,29,10,62,57,6
DOOHAN Mick,54,31,10,58,46,5
LORENZO Jorge,47,44,23,43,30,3
STONER Casey,38,11,20,39,29,2
HAILWOOD Mike,37,9,2,,37,4
PEDROSA Dani,31,40,41,31,44,
LAWSON Eddie,31,31,16,18,21,4
SCHWANTZ Kevin,25,13,13,29,26,1
RAINEY Wayne,24,22,18,15,22,3
ROBERTS Kenny,22,12,5,18,24,3
DUKE Geoff,22,5,5,,21,4
SURTEES John,22,2,,,20,4
SPENCER Freddie,20,9,2,27,18,2
SHEENE Barry,19,10,11,19,18,2
GARDNER Wayne,18,20,14,19,19,1
DOVIZIOSO Andrea,15,21,26,7,11,
CRIVILLE Alex,15,16,20,9,14,1
BIAGGI Max,13,26,19,23,14,
MAMOLA Randy,13,22,19,5,12,
READ Phil,11,13,10,4,3,2
CAPIROSSI Loris,9,14,19,13,10,
GIBERNAU Sete,9,14,7,13,8,
VIÑALES Maverick,9,7,12,13,10,
CADALORA Luca,8,9,7,8,6,
ROBERTS JR Kenny,8,7,7,10,9,1
HOCKING Gary,8,1,2,,10,1
BARROS Alex,7,11,14,5,14,
QUARTARARO Fabio,7,5,5,15,8,
LUCCHINELLI Marco,6,7,6,9,9,1
MASETTI Umberto,6,7,4,,1,2
MELANDRI Marco,5,6,9,,3,
GRAHAM Leslie,5,3,,,6,1
HARTOG Wil,5,2,5,,2,
UNCINI Franco,5,1,5,1,1,1
OKADA Tadayuki,4,10,7,7,7,
KOCINSKI John,4,8,7,9,4,
ARMSTRONG Reg,4,6,6,,1,
LIBERATI Libero,4,3,1,,1,1
HARTLE John,3,10,4,,1,
FINDLAY Jack,3,9,12,1,1,
BEATTIE Daryl,3,7,4,,1,
PAGANI Alberto,3,7,3,,,
HAYDEN Nicky,3,6,19,5,7,1
CRUTCHLOW Cal,3,6,10,4,4,
RINS Alex,3,6,3,,5,
HENNEN Pat,3,5,4,,,
ABE Norick,3,4,10,,1,
MILANI Alfredo,3,4,2,,3,
CECOTTO Johnny,3,4,1,12,4,
MILLER Jack,3,3,7,1,2,
OLIVEIRA Miguel,3,2,,1,2,
MCCOY Garry,3,1,6,1,1,
MORBIDELLI Franco,3,1,2,2,1,
CHECA Carlos,2,14,8,3,5,
FERRARI Virginio,2,6,2,1,3,
PETRUCCI Danilo,2,4,4,,2,
AMM Ray,2,3,2,,3,
PAGANI Nello,2,2,5,,2,
TAMADA Makoto,2,1,2,3,2,
MIDDELBURG Jack,2,1,1,2,1,
ANDERSON Fergus,2,1,,,2,
SAARINEN Jarno,2,,,,3,
BINDER Brad,2,,,,2,
REDMAN Jim,2,,,,1,
VENTURI Remo,1,9,1,,2,
LANSIVUORI Teuvo,1,6,4,7,5,
MCINTYRE Bob,1,5,2,,3,
MIR Joan,1,4,6,,1,1
KAVANAGH Ken,1,4,4,,3,
SHEPHERD Alan,1,4,4,,,
BERGAMONTI Angelo,1,4,2,,1,
SARRON Christian,1,3,14,6,6,
KATAYAMA Takazumi,1,3,4,,2,
VERMEULEN Chris,1,3,3,3,1,
BONERA Gianfranco,1,3,3,1,2,
DORAN William,1,3,1,,,
IANNONE Andrea,1,2,8,2,3,
UKAWA Tohru,1,2,7,1,3,
SPIES Ben,1,2,3,1,1,
ELIAS Toni,1,2,3,,3,
BRETT Jack,1,2,3,,1,
DALE Dickie,1,2,2,,1,
KANAYA Hideo,1,2,2,,1,
SIMMONDS Dave,1,2,2,,,
VAN DULMEN Boet,1,2,1,1,,
AHEARN Jack,1,1,5,,,
NEWCOMBE Kim,1,1,4,,1,
MONNERET Pierre,1,1,3,,1,
MORTIMER Chas,1,1,2,,1,
CRAFAR Simon,1,1,1,1,2,
CALDARELLA Benedicto,1,1,1,,2,
WILLIAMS John,1,1,1,,1,
CHILI Pierfrancesco,1,1,1,,1,
NEWBOLD John,1,1,,,1,
CREITH R.,1,1,,,,
KISSLING Jorge,1,1,,,,
PUIG Alberto,1,,4,,1,
BAYLISS Troy,1,,4,,,
STASTNY Franta,1,,4,,,
MARTIN Jorge,1,,2,3,,
MAGEE Kevin,1,,2,1,1,
HERRON Tom,1,,2,,,
LACONI Regis,1,,1,1,,
GRANT Mike,1,,1,,2,
LOMAS Bill,1,,1,,2,
NASH Godfrey,1,,1,,1,
DANIELL Harold,1,,1,,,
MCCANDLESS Cromie,1,,1,,,
FRUTSCHI Michel,1,,,,1,
CZIHAK Edmund,1,,,,1,
COLNAGO Giuseppe,1,,,,,
IRELAND Dennis,1,,,,,
CARPENTER Phil,1,,,,,
